id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,review_scores_location
52084036,f,Williamsburg,Brooklyn,40.71868,-73.95757,Entire home/apt,2,100,5.00
52084225,t,Murray Hill,Manhattan,40.74763,-73.97329,Private room,1,244,4.71
52084970,f,Bronxdale,Bronx,40.85463,-73.86767,Private room,1,69,0.00
52085221,f,Hell's Kitchen,Manhattan,40.75447,-73.998,Private room,1,106,4.00
52085532,t,Middle Village,Queens,40.72389,-73.8693,Entire home/apt,2,138,5.00
52088986,t,Chelsea,Manhattan,40.74968,-73.99542,Private room,2,176,4.93
52089998,t,Bushwick,Brooklyn,40.69281,-73.91527,Entire home/apt,4,175,4.89
52090012,f,Morrisania,Bronx,40.83107,-73.90126,Private room,2,46,4.38
52090874,t,Bedford-Stuyvesant,Brooklyn,40.68072,-73.94138,Entire home/apt,2,218,4.84
52091007,t,Chelsea,Manhattan,40.7478,-73.99653,Private room,2,181,4.91
52094310,f,West Village,Manhattan,40.7322,-74.00469,Entire home/apt,2,245,5.00
52095695,f,Upper East Side,Manhattan,40.76926,-73.95732,Private room,2,111,5.00
52096040,t,Bedford-Stuyvesant,Brooklyn,40.68322,-73.95626,Entire home/apt,4,250,5.00
52101440,t,Washington Heights,Manhattan,40.83641,-73.94312,Entire home/apt,5,215,4.75
52101974,t,Morris Heights,Bronx,40.85276,-73.91344,Entire home/apt,4,100,4.85
52102524,f,Chelsea,Manhattan,40.73959,-74.00002,Entire home/apt,2,180,0.00
52104098,f,Civic Center,Manhattan,40.71345,-74.00503,Private room,4,300,5.00
52105294,f,Norwood,Bronx,40.86909,-73.88371,Private room,1,80,4.83
52105349,t,Jamaica,Queens,40.68415,-73.7801,Entire home/apt,4,130,4.79
52107468,t,Rosedale,Queens,40.67144,-73.71975,Entire home/apt,4,155,4.92
52108798,f,Upper East Side,Manhattan,40.77142,-73.95682,Entire home/apt,5,450,5.00
52109956,t,Cypress Hills,Brooklyn,40.68507,-73.87198,Private room,2,55,4.62
52110071,f,Williamsburg,Brooklyn,40.71192,-73.95064,Entire home/apt,2,479,0.00
52112035,f,Crown Heights,Brooklyn,40.67672,-73.95844,Entire home/apt,4,250,4.67
52112120,t,Lower East Side,Manhattan,40.72072,-73.98367,Entire home/apt,3,146,4.91
52113745,f,Kips Bay,Manhattan,40.74158,-73.98227,Entire home/apt,2,99,4.50
52114771,t,Bedford-Stuyvesant,Brooklyn,40.68782,-73.93307,Entire home/apt,6,300,4.18
52114893,f,Hell's Kitchen,Manhattan,40.76332,-73.99541,Entire home/apt,2,489,5.00
52115109,f,Astoria,Queens,40.76849,-73.92412,Private room,2,60,4.95
52119400,t,Long Island City,Queens,40.74847,-73.9465,Entire home/apt,3,148,4.80
52121408,f,Williamsburg,Brooklyn,40.70885,-73.92291,Entire home/apt,3,101,5.00
52123416,t,Upper West Side,Manhattan,40.77572,-73.98942,Entire home/apt,4,543,4.83
52123676,f,Astoria,Queens,40.75951,-73.91088,Private room,2,78,5.00
52123884,f,Midtown,Manhattan,40.7468,-73.98864,Entire home/apt,4,233,4.75
52124474,f,West Village,Manhattan,40.73279,-74.00519,Entire home/apt,2,300,0.00
52124924,t,Canarsie,Brooklyn,40.63717,-73.89636,Entire home/apt,3,81,4.91
52125718,f,Bedford-Stuyvesant,Brooklyn,40.68271,-73.95378,Entire home/apt,2,325,5.00
52126228,f,Hell's Kitchen,Manhattan,40.76198,-73.99242,Entire home/apt,7,961,4.58
52126679,t,East Flatbush,Brooklyn,40.64511,-73.92413,Entire home/apt,2,138,4.73
52127702,f,East Village,Manhattan,40.72273,-73.97831,Entire home/apt,2,124,5.00
52127911,t,Bedford-Stuyvesant,Brooklyn,40.67751,-73.91961,Entire home/apt,8,298,4.51
52128130,f,Williamsburg,Brooklyn,40.71886,-73.94006,Entire home/apt,2,180,4.50
52128438,f,Midtown,Manhattan,40.75156,-73.98333,Private room,2,199,4.00
