host_is_superhost,neighborhood,borough,room_type,accommodates,price,review_scores_location,review_scores_rating
f,Ridgewood,Queens,Entire home/apt,5,214,5.00,5.00
f,St. Albans,Queens,Entire home/apt,2,140,4.00,5.00
f,Ridgewood,Queens,Entire home/apt,2,51,5.00,5.00
t,Flushing,Queens,Entire home/apt,2,100,4.73,4.95
t,Flushing,Queens,Entire home/apt,2,84,4.65,4.77
t,Springfield Gardens,Queens,Entire home/apt,4,200,3.00,4.00
t,Briarwood,Queens,Entire home/apt,4,110,4.83,4.95
f,Bensonhurst,Brooklyn,Private room,3,40,0.00,0.00
t,Mott Haven,Bronx,Entire home/apt,4,165,4.75,4.96
f,St. Albans,Queens,Entire home/apt,5,393,5.00,5.00
f,Kew Gardens Hills,Queens,Entire home/apt,5,169,0.00,0.00
t,Jamaica,Queens,Entire home/apt,10,100,4.70,4.87
f,Allerton,Bronx,Private room,2,53,5.00,5.00
f,Flushing,Queens,Private room,1,59,4.68,4.61
f,Pelham Gardens,Bronx,Private room,2,55,0.00,0.00
f,Jamaica,Queens,Entire home/apt,6,132,0.00,0.00
f,Flushing,Queens,Private room,1,45,0.00,0.00
f,Allerton,Bronx,Private room,1,500,0.00,0.00
f,Flushing,Queens,Private room,4,84,4.88,4.88
f,St. Albans,Queens,Entire home/apt,3,165,4.50,4.25
f,Flushing,Queens,Private room,1,70,0.00,0.00
f,Williamsburg,Brooklyn,Entire home/apt,16,3600,0.00,0.00
f,Flushing,Queens,Private room,2,60,4.53,4.73
f,Flushing,Queens,Private room,2,70,5.00,4.50
f,Allerton,Bronx,Private room,2,500,0.00,0.00
f,St. Albans,Queens,Entire home/apt,4,250,5.00,5.00
t,Bushwick,Brooklyn,Entire home/apt,6,110,4.50,5.00
f,Kensington,Brooklyn,Private room,2,36,0.00,0.00
t,Kew Gardens Hills,Queens,Entire home/apt,2,141,4.92,4.92
f,Briarwood,Queens,Entire home/apt,2,65,4.56,4.56
f,Flushing,Queens,Entire home/apt,5,350,5.00,4.00
f,Maspeth,Queens,Entire home/apt,8,250,0.00,0.00
f,Astoria,Queens,Private room,2,70,4.85,4.81
f,St. Albans,Queens,Entire home/apt,3,150,5.00,5.00
t,Astoria,Queens,Private room,4,66,4.72,4.70
f,Flushing,Queens,Private room,2,48,4.64,4.86
f,Bensonhurst,Brooklyn,Entire home/apt,4,120,4.50,5.00
t,Bath Beach,Brooklyn,Private room,2,86,0.00,0.00
t,Morris Park,Bronx,Entire home/apt,4,267,4.93,4.98
f,Jamaica,Queens,Entire home/apt,6,314,4.63,4.89
f,Baychester,Bronx,Entire home/apt,5,99,4.50,4.75
t,Gravesend,Brooklyn,Private room,2,54,0.00,0.00
f,Astoria,Queens,Private room,1,88,4.78,5.00
f,Allerton,Bronx,Entire home/apt,10,233,5.00,5.00
f,Inwood,Manhattan,Private room,2,33,0.00,0.00
f,St. Albans,Queens,Entire home/apt,1,160,0.00,0.00
t,Bath Beach,Brooklyn,Entire home/apt,2,79,4.84,4.91
f,Jamaica,Queens,Entire home/apt,2,238,0.00,0.00
t,Jamaica Hills,Queens,Entire home/apt,8,218,4.68,4.85
t,Briarwood,Queens,Shared room,1,25,0.00,0.00
f,Jamaica,Queens,Entire home/apt,4,210,0.00,0.00
f,Jamaica,Queens,Entire home/apt,16,1500,0.00,0.00
f,Kew Gardens,Queens,Entire home/apt,2,80,0.00,0.00
f,Kensington,Brooklyn,Private room,2,55,4.25,4.56
f,Flushing,Queens,Private room,2,43,0.00,0.00
f,Kensington,Brooklyn,Private room,3,41,4.60,4.60
f,Flushing,Queens,Private room,2,60,0.00,0.00
t,Pelham Gardens,Bronx,Entire home/apt,2,113,4.89,4.97
t,Bath Beach,Brooklyn,Private room,1,75,4.82,4.91
