id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
25982839,Williamsburg,Brooklyn,40.71949,-73.94029,4,4,185,95,4.82
25997748,Greenpoint,Brooklyn,40.73263,-73.95918,4,2,375,19,4.79
25997937,Greenpoint,Brooklyn,40.73216,-73.95881,4,2,460,8,4.88
25998042,Kensington,Brooklyn,40.63779,-73.97216,4,4,104,0,0
25998057,Harlem,Manhattan,40.82207,-73.95492,4,6,135,0,0
25999678,Bushwick,Brooklyn,40.68722,-73.91426,4,4,120,59,4.81
26000019,Washington Heights,Manhattan,40.83666,-73.9403,3,2,65,77,4.4
26002246,Upper East Side,Manhattan,40.75934,-73.96075,4,2,75,8,4.88
26002676,Williamsburg,Brooklyn,40.70636,-73.95463,4,2,220,10,5
26004664,Midtown,Manhattan,40.76618,-73.97886,4,5,699,3,5
26005975,Washington Heights,Manhattan,40.84812,-73.93588,3,2,50,0,0
26006309,Sheepshead Bay,Brooklyn,40.60836,-73.96161,4,2,89,1,5
26010424,Inwood,Manhattan,40.86839,-73.92015,4,4,102,98,4.79
26013177,Canarsie,Brooklyn,40.64033,-73.89385,4,2,108,210,4.88
26023459,Rosedale,Queens,40.67861,-73.72122,3,2,55,11,4.91
26025308,Bushwick,Brooklyn,40.68775,-73.9113,3,1,35,1,4
26025770,Upper West Side,Manhattan,40.80196,-73.96674,4,8,229,0,0
26026904,Sunset Park,Brooklyn,40.6515,-74.00535,3,1,75,92,4.87
26028786,Marine Park,Brooklyn,40.618,-73.9342,4,4,85,99,4.72
26029326,Upper East Side,Manhattan,40.76366,-73.958603,4,3,383,0,0
26032155,East Village,Manhattan,40.72369,-73.9853,4,4,89,17,4.94
26033190,Williamsburg,Brooklyn,40.71794,-73.94353,4,2,169,0,0
26035069,Harlem,Manhattan,40.82124,-73.94256,3,2,87,26,4.81
26036438,Upper West Side,Manhattan,40.78792,-73.96838,4,5,550,30,4.93
26037496,Harlem,Manhattan,40.80473,-73.94927,4,5,164,63,4.79
26038458,Bedford-Stuyvesant,Brooklyn,40.68125,-73.94837,3,2,140,213,4.81
26038825,Harlem,Manhattan,40.82127,-73.94875,3,2,219,120,4.9
26038936,Upper West Side,Manhattan,40.78816,-73.9804,3,1,100,8,5
26040453,Bedford-Stuyvesant,Brooklyn,40.67987,-73.94863,4,2,140,256,4.84
26040515,Rockaway Park,Queens,40.58515,-73.81838,4,6,352,97,4.9
26050704,Greenpoint,Brooklyn,40.73789,-73.9556,3,2,80,0,0
26053032,Hell's Kitchen,Manhattan,40.77091,-74.02122,4,10,218,156,4.88
26053340,Williamsburg,Brooklyn,40.70804,-73.95342,4,1,71,56,4.88
26054275,Sunset Park,Brooklyn,40.64315,-74.01656,3,1,62,38,4.78
26055709,Crown Heights,Brooklyn,40.66726,-73.93059,3,3,86,174,4.71
26057878,SoHo,Manhattan,40.72425,-73.99797,4,6,550,31,5
26058634,Chelsea,Manhattan,40.74496,-74.0035,4,4,900,6,5
26060534,Ridgewood,Queens,40.70828,-73.89458,3,1,68,14,4.54
26062650,Rockaway Park,Queens,40.58377,-73.81722,4,2,75,2,5
26063230,Flatbush,Brooklyn,40.64046,-73.95391,4,10,244,130,4.62
26064779,Bedford-Stuyvesant,Brooklyn,40.68441,-73.93886,3,2,40,81,4.84
26074006,Harlem,Manhattan,40.81076,-73.94354,3,1,71,7,4.57
26080646,West Village,Manhattan,40.7294,-74.00259,4,2,200,25,4.96
26086126,College Point,Queens,40.78086,-73.84665,3,2,58,64,4.59
26093497,Flatbush,Brooklyn,40.63558,-73.96543,4,8,950,4,5
26106086,St. George,Staten Island,40.64728,-74.08572,3,2,55,0,0
26107318,Long Island City,Queens,40.74462,-73.95128,4,6,175,71,4.97
26108084,Upper West Side,Manhattan,40.79536,-73.96968,3,1,65,0,0
26110466,Jamaica,Queens,40.67162,-73.77911,3,2,65,126,4.77
26119005,Richmond Hill,Queens,40.69747,-73.82682,4,6,295,33,4.88
