id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
4948953,Greenpoint,Brooklyn,40.72086,-73.94609,Private room,2,75,0,0.00
4951402,Upper West Side,Manhattan,40.78942,-73.97513,Private room,2,65,171,4.92
4952989,Crown Heights,Brooklyn,40.66687,-73.95023,Private room,5,275,59,4.81
4956896,Chinatown,Manhattan,40.71535,-73.99027,Entire home/apt,2,165,43,4.83
4958223,Upper West Side,Manhattan,40.79446609,-73.96346305,Private room,2,177,338,4.91
4963215,East Village,Manhattan,40.72304,-73.97674,Entire home/apt,2,110,7,4.71
4963237,Eastchester,Bronx,40.87893,-73.83413,Entire home/apt,5,141,24,4.58
4963511,Eastchester,Bronx,40.881,-73.83511,Entire home/apt,7,238,22,4.45
4965145,Howland Hook,Staten Island,40.64987,-74.19937,Private room,2,55,53,4.27
4965152,SoHo,Manhattan,40.72089,-74.00171,Private room,2,102,9,5.00
4967098,Morris Park,Bronx,40.85456,-73.85709,Private room,2,50,2,5.00
4967114,Hell's Kitchen,Manhattan,40.7666,-73.98475,Entire home/apt,2,450,0,0.00
4967976,Clinton Hill,Brooklyn,40.68286,-73.96356,Private room,1,10,0,0.00
4968633,Bedford-Stuyvesant,Brooklyn,40.68232,-73.93792,Private room,2,85,124,4.82
4968798,East Elmhurst,Queens,40.75684,-73.87709,Private room,2,50,33,4.72
4973452,Chinatown,Manhattan,40.71652,-73.99801,Private room,2,75,0,0.00
4976848,Lower East Side,Manhattan,40.71905,-73.98792,Private room,1,89,104,4.87
4977744,Lower East Side,Manhattan,40.72061,-73.98775,Entire home/apt,4,200,1,5.00
4978214,Canarsie,Brooklyn,40.6384,-73.91611,Private room,2,50,41,4.53
4978241,Harlem,Manhattan,40.81141,-73.93975,Entire home/apt,4,189,113,4.78
4978607,Upper West Side,Manhattan,40.78075,-73.98359,Entire home/apt,1,120,10,4.90
4982969,Prospect-Lefferts Gardens,Brooklyn,40.65833,-73.95196,Private room,1,45,0,0.00
4987238,Greenwich Village,Manhattan,40.73238,-73.995,Entire home/apt,2,300,33,5.00
4987929,Astoria,Queens,40.76523,-73.92812,Private room,2,100,51,4.82
4991235,Greenpoint,Brooklyn,40.7299,-73.95143,Private room,2,100,1,5.00
4993422,Astoria,Queens,40.76791,-73.9204,Entire home/apt,2,72,39,4.82
4994264,Financial District,Manhattan,40.7076,-74.01367,Private room,1,125,0,0.00
4995083,East Village,Manhattan,40.72767,-73.98335,Entire home/apt,2,120,8,4.75
4996027,Williamsburg,Brooklyn,40.71109,-73.9642,Entire home/apt,2,450,22,5.00
5002867,Flatbush,Brooklyn,40.64224,-73.96236,Private room,3,75,24,4.83
5004463,Midwood,Brooklyn,40.62299,-73.9529,Private room,3,60,27,4.96
5006113,Tribeca,Manhattan,40.72044,-74.00399,Entire home/apt,6,1130,2,5.00
5006927,Ridgewood,Queens,40.70547,-73.91432,Private room,2,65,5,4.25
5010368,Upper East Side,Manhattan,40.77395,-73.95153,Entire home/apt,2,88,100,4.82
5013564,Park Slope,Brooklyn,40.67438,-73.97541,Private room,1,110,9,4.89
5015281,Gramercy,Manhattan,40.73635,-73.98669,Entire home/apt,1,1000,0,0.00
5017063,Randall Manor,Staten Island,40.65286,-74.12133,Entire home/apt,9,155,2,5.00
5019373,Williamsburg,Brooklyn,40.71619,-73.94156,Entire home/apt,3,80,10,4.60
